id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
25198,Male,31,1,28.0,0,1-2 Year,Yes,33170.0,122.0,122,0
52664,Male,53,1,28.0,0,1-2 Year,Yes,41203.0,26.0,170,1
18544,Male,44,1,41.0,1,1-2 Year,No,29968.0,26.0,240,0
70342,Male,49,1,50.0,0,1-2 Year,Yes,36174.0,154.0,175,1
86393,Female,70,1,29.0,1,1-2 Year,No,30255.0,26.0,50,0
91569,Male,42,1,28.0,0,> 2 Years,Yes,2630.0,26.0,186,0
48611,Female,25,1,15.0,1,< 1 Year,No,33676.0,152.0,125,0
18231,Female,24,1,8.0,1,< 1 Year,No,50464.0,152.0,163,0
89387,Female,22,1,46.0,1,< 1 Year,No,21176.0,152.0,107,0
42843,Female,20,1,42.0,1,< 1 Year,No,2630.0,160.0,73,0
88335,Male,60,1,15.0,0,1-2 Year,Yes,37531.0,124.0,116,0
87773,Male,28,1,13.0,1,< 1 Year,No,33644.0,26.0,190,0
94,Female,28,1,41.0,0,1-2 Year,No,2630.0,156.0,138,0
64915,Female,59,1,28.0,0,1-2 Year,Yes,52768.0,154.0,233,0
50617,Male,38,1,28.0,0,1-2 Year,Yes,35379.0,124.0,90,0
79096,Male,51,1,41.0,0,1-2 Year,Yes,33824.0,26.0,195,0
52089,Male,31,1,3.0,0,1-2 Year,Yes,2630.0,157.0,113,1
6047,Male,63,1,41.0,1,1-2 Year,No,46949.0,136.0,139,0
61840,Male,24,1,28.0,0,< 1 Year,No,38573.0,152.0,259,0
60637,Female,23,1,3.0,0,< 1 Year,Yes,25228.0,151.0,98,0
35686,Male,25,1,47.0,0,< 1 Year,No,23127.0,160.0,285,0
40252,Female,22,1,16.0,1,< 1 Year,No,17131.0,152.0,227,0
36665,Male,22,1,50.0,1,< 1 Year,No,44556.0,152.0,150,0
22542,Male,31,1,33.0,1,< 1 Year,No,26567.0,152.0,250,0
97214,Male,33,1,28.0,1,< 1 Year,Yes,57877.0,154.0,113,0
21133,Male,60,1,24.0,0,1-2 Year,Yes,26177.0,145.0,290,0
4835,Female,23,1,29.0,1,< 1 Year,No,21512.0,152.0,114,0
70222,Female,46,1,11.0,0,1-2 Year,Yes,33938.0,152.0,147,1
74955,Male,68,1,46.0,0,> 2 Years,Yes,31091.0,124.0,141,1
13980,Male,30,1,47.0,1,< 1 Year,No,33334.0,152.0,151,0
62034,Female,23,1,36.0,1,< 1 Year,No,34188.0,152.0,30,0
893,Male,45,1,3.0,1,1-2 Year,Yes,31641.0,124.0,183,0
11583,Female,29,1,10.0,1,< 1 Year,No,34057.0,152.0,181,0
91779,Female,50,1,28.0,0,> 2 Years,Yes,31269.0,26.0,126,0
60638,Female,20,1,46.0,0,< 1 Year,Yes,42063.0,160.0,261,0
42401,Female,60,1,30.0,1,1-2 Year,No,37969.0,140.0,94,0
41820,Male,34,1,46.0,0,1-2 Year,Yes,33574.0,124.0,284,0
50873,Male,24,1,18.0,1,< 1 Year,No,28484.0,152.0,205,0
8030,Female,67,1,28.0,0,1-2 Year,Yes,39908.0,122.0,67,0
6646,Female,25,1,29.0,1,< 1 Year,No,22710.0,152.0,191,0
27379,Male,52,1,7.0,0,1-2 Year,Yes,2630.0,156.0,242,0
24121,Female,68,1,48.0,1,1-2 Year,No,2630.0,124.0,113,0
37004,Male,29,1,8.0,1,< 1 Year,No,2630.0,152.0,105,0
66167,Female,41,1,21.0,0,1-2 Year,Yes,28930.0,155.0,272,0
76117,Male,60,1,6.0,1,1-2 Year,No,2630.0,26.0,298,0
11487,Male,27,1,8.0,1,< 1 Year,No,33731.0,152.0,173,0
36957,Male,26,1,28.0,0,< 1 Year,Yes,2630.0,153.0,284,0
7167,Male,77,1,28.0,1,1-2 Year,No,25426.0,23.0,40,0
92778,Female,25,1,36.0,0,< 1 Year,No,31043.0,152.0,11,0
56342,Female,50,1,28.0,0,1-2 Year,Yes,44842.0,26.0,296,1
28177,Male,71,1,6.0,0,> 2 Years,Yes,34074.0,31.0,45,0
30028,Male,40,1,46.0,1,1-2 Year,No,31927.0,124.0,202,0
94375,Male,30,1,21.0,1,< 1 Year,No,30882.0,152.0,262,0
64875,Male,63,1,28.0,0,1-2 Year,Yes,34756.0,26.0,201,0
54864,Female,21,1,46.0,1,< 1 Year,No,29372.0,160.0,210,0
7254,Male,24,1,7.0,0,< 1 Year,Yes,2630.0,152.0,62,0
35232,Male,62,1,28.0,0,1-2 Year,Yes,36131.0,30.0,278,0
53020,Male,22,1,19.0,0,< 1 Year,Yes,2630.0,152.0,128,0
60782,Female,24,1,15.0,1,< 1 Year,No,32695.0,152.0,268,0
98185,Male,23,1,8.0,1,< 1 Year,No,69819.0,152.0,127,0
89964,Male,67,1,49.0,0,> 2 Years,Yes,18422.0,26.0,280,0
25306,Male,59,1,14.0,1,1-2 Year,No,26480.0,26.0,66,0
67568,Male,39,1,30.0,1,1-2 Year,No,25370.0,152.0,227,0
76436,Male,23,1,8.0,1,< 1 Year,No,46434.0,160.0,130,0
4748,Female,31,1,8.0,0,< 1 Year,Yes,2630.0,160.0,99,0
56732,Male,25,1,15.0,1,< 1 Year,No,51657.0,152.0,87,0
41552,Male,27,1,28.0,0,1-2 Year,Yes,89721.0,124.0,218,1
47506,Female,28,1,16.0,1,< 1 Year,No,32659.0,152.0,50,0
99803,Male,73,1,39.0,1,1-2 Year,No,35705.0,124.0,254,0
11452,Female,21,1,8.0,1,< 1 Year,No,36440.0,160.0,122,0
69971,Male,79,1,28.0,0,1-2 Year,Yes,37042.0,124.0,84,0
24363,Female,43,1,28.0,1,1-2 Year,No,39390.0,114.0,231,0
50629,Male,61,1,46.0,0,1-2 Year,Yes,2630.0,160.0,267,0
85306,Female,26,1,28.0,0,1-2 Year,Yes,2630.0,124.0,52,0
88290,Female,74,1,50.0,0,1-2 Year,Yes,38299.0,8.0,17,0
45454,Female,43,1,8.0,0,1-2 Year,Yes,30227.0,124.0,278,1
9052,Female,56,1,47.0,0,1-2 Year,Yes,30089.0,26.0,130,1
52940,Female,22,1,45.0,1,< 1 Year,No,32096.0,152.0,99,0
25643,Male,23,1,12.0,1,< 1 Year,No,18628.0,151.0,12,0
