id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
53731,Male,24,1,47.0,1,< 1 Year,No,31603.0,152.0,54,0
26478,Male,23,1,46.0,1,< 1 Year,No,29501.0,160.0,74,0
93973,Male,21,1,18.0,0,1-2 Year,Yes,27507.0,154.0,78,0
36899,Male,31,1,31.0,1,< 1 Year,No,2630.0,152.0,84,0
72743,Male,39,1,8.0,0,1-2 Year,Yes,2630.0,26.0,194,0
92085,Male,24,1,15.0,1,< 1 Year,No,28236.0,152.0,201,0
78785,Female,24,1,36.0,1,< 1 Year,No,31336.0,152.0,16,0
41275,Male,28,1,24.0,0,< 1 Year,Yes,26066.0,152.0,19,1
21026,Female,29,1,21.0,1,< 1 Year,Yes,22245.0,152.0,217,0
66749,Male,23,1,27.0,0,< 1 Year,Yes,39869.0,151.0,134,1
91230,Male,32,1,41.0,1,< 1 Year,No,38363.0,152.0,16,0
51363,Male,43,1,33.0,0,1-2 Year,Yes,33450.0,26.0,285,0
56783,Female,40,1,28.0,1,1-2 Year,No,44618.0,124.0,178,0
59774,Female,27,1,12.0,1,< 1 Year,No,2630.0,152.0,194,0
56591,Male,53,1,28.0,1,1-2 Year,No,44293.0,26.0,57,0
22398,Male,48,1,3.0,0,1-2 Year,Yes,20471.0,124.0,219,0
47636,Female,21,1,12.0,1,< 1 Year,No,24157.0,152.0,203,0
34970,Male,27,1,3.0,0,1-2 Year,Yes,19421.0,156.0,127,0
2894,Male,41,1,28.0,0,1-2 Year,Yes,21393.0,26.0,186,1
60982,Female,25,1,29.0,1,< 1 Year,No,30775.0,152.0,37,0
71816,Female,38,1,8.0,1,1-2 Year,No,37722.0,152.0,206,0
84433,Female,28,1,30.0,1,1-2 Year,Yes,2630.0,156.0,99,0
97618,Female,53,1,28.0,0,1-2 Year,Yes,2630.0,26.0,114,1
60023,Female,31,1,29.0,0,< 1 Year,Yes,32191.0,26.0,285,0
35891,Female,26,1,19.0,1,< 1 Year,No,33273.0,152.0,125,0
21272,Male,76,1,28.0,1,1-2 Year,No,40318.0,25.0,166,0
60152,Female,24,1,36.0,1,< 1 Year,No,2630.0,152.0,117,0
93325,Male,57,1,48.0,1,1-2 Year,No,2630.0,26.0,160,0
94373,Female,21,1,28.0,0,< 1 Year,No,46635.0,154.0,83,0
99695,Male,24,1,29.0,1,< 1 Year,No,37924.0,152.0,114,0
17618,Male,26,1,11.0,1,< 1 Year,No,19523.0,160.0,277,0
48308,Female,40,1,36.0,1,1-2 Year,No,2630.0,152.0,217,0
75868,Female,32,1,33.0,1,< 1 Year,No,2630.0,160.0,72,0
74414,Female,26,1,15.0,1,< 1 Year,No,2630.0,152.0,202,0
5428,Female,50,1,28.0,0,1-2 Year,Yes,27990.0,26.0,135,1
13505,Male,23,1,3.0,1,< 1 Year,No,24828.0,151.0,173,0
44369,Female,51,1,3.0,0,1-2 Year,Yes,31195.0,124.0,144,1
84671,Male,53,1,6.0,1,1-2 Year,No,38470.0,124.0,119,0
40234,Female,22,1,27.0,1,< 1 Year,No,24608.0,152.0,218,0
6380,Female,39,1,28.0,0,1-2 Year,Yes,33987.0,124.0,154,1
89673,Male,46,1,8.0,0,1-2 Year,Yes,34088.0,7.0,58,0
8354,Male,66,1,15.0,0,1-2 Year,Yes,2630.0,26.0,104,1
54474,Male,49,1,8.0,1,1-2 Year,No,2630.0,124.0,62,0
69705,Male,41,1,39.0,0,1-2 Year,Yes,28319.0,124.0,247,1
32713,Male,52,1,48.0,0,1-2 Year,Yes,2630.0,26.0,156,0
65210,Female,33,1,41.0,1,< 1 Year,No,35513.0,152.0,195,0
54267,Female,26,1,36.0,0,< 1 Year,Yes,41928.0,152.0,267,0
12894,Female,64,1,45.0,1,1-2 Year,No,45606.0,26.0,37,0
41397,Female,23,1,33.0,0,< 1 Year,No,26954.0,152.0,262,0
34863,Male,51,1,29.0,0,1-2 Year,Yes,59704.0,26.0,167,0
40024,Male,55,1,29.0,0,1-2 Year,Yes,88883.0,26.0,193,1
67187,Male,54,1,28.0,0,1-2 Year,Yes,35338.0,26.0,50,1
65935,Male,21,1,8.0,0,< 1 Year,Yes,47194.0,160.0,61,0
